time,roll,pitch,yaw,roll_mod,pitch_mod,yaw_mod
1572379264.63,2.28125,-0.265625,74.03125,2.28125,-0.2656250000000003,74.03125
1572379264.69,2.28125,-0.265625,74.09375,2.281250000000001,-0.26562500000000017,74.09375000000001
1572379264.69,2.28125,-0.265625,74.03125,2.28125,-0.2656250000000003,74.03125
1572379264.69,2.28125,-0.265625,74.03125,2.28125,-0.2656250000000003,74.03125
1572379264.73,2.296875,-0.265625,74.125,2.2968750000000004,-0.26562500000000006,74.125
1572379264.73,2.296875,-0.25,74.171875,2.296875,-0.2499999999999997,74.17187499999999
1572379264.75,2.296875,-0.25,74.171875,2.296875,-0.2499999999999997,74.17187499999999
1572379264.77,2.296875,-0.25,74.171875,2.296875,-0.2499999999999997,74.17187499999999
1572379264.8,2.296875,-0.25,74.171875,2.296875,-0.2499999999999997,74.17187499999999
1572379264.82,2.296875,-0.25,74.21875,2.2968750000000004,-0.2500000000000001,74.21875
1572379264.83,2.296875,-0.25,74.21875,2.2968750000000004,-0.2500000000000001,74.21875
1572379264.85,2.296875,-0.25,74.21875,2.2968750000000004,-0.2500000000000001,74.21875
1572379264.87,2.296875,-0.25,74.21875,2.2968750000000004,-0.2500000000000001,74.21875
1572379264.89,2.359375,-0.234375,74.421875,2.3593750000000013,-0.2343750000000002,74.42187500000003
1572379264.95,2.359375,-0.234375,74.4375,2.3593749999999996,-0.23437500000000003,74.4375
1572379264.95,2.359375,-0.234375,74.4375,2.3593749999999996,-0.23437500000000003,74.4375
1572379264.95,2.359375,-0.234375,74.4375,2.3593749999999996,-0.23437500000000003,74.4375
1572379264.99,2.359375,-0.234375,74.4375,2.3593749999999996,-0.23437500000000003,74.4375
1572379264.99,2.359375,-0.234375,74.453125,2.359375,-0.23437499999999958,74.453125
1572379265.01,2.359375,-0.234375,74.484375,2.3593750000000004,-0.23437499999999983,74.48437500000001
1572379265.03,2.359375,-0.234375,74.484375,2.3593750000000004,-0.23437499999999983,74.48437500000001
1572379265.06,2.375,-0.234375,74.5,2.3750000000000004,-0.23437500000000003,74.50000000000001
1572379265.07,2.375,-0.234375,74.5,2.3750000000000004,-0.23437500000000003,74.50000000000001
1572379265.09,2.375,-0.234375,74.5,2.3750000000000004,-0.23437500000000003,74.50000000000001
1572379265.12,2.40625,-0.234375,74.609375,2.4062499999999996,-0.23437500000000003,74.60937499999999
1572379265.13,2.40625,-0.234375,74.609375,2.4062499999999996,-0.23437500000000003,74.60937499999999
1572379265.19,2.40625,-0.234375,74.65625,2.4062500000000004,-0.2343750000000002,74.65625000000001
1572379265.19,2.40625,-0.234375,74.65625,2.4062500000000004,-0.2343750000000002,74.65625000000001
1572379265.19,2.40625,-0.234375,74.625,2.4062500000000004,-0.23437499999999978,74.62500000000001
1572379265.23,2.421875,-0.234375,74.6875,2.421875,-0.23437499999999978,74.68750000000003
1572379265.23,2.40625,-0.234375,74.65625,2.4062500000000004,-0.2343750000000002,74.65625000000001
1572379265.26,2.421875,-0.234375,74.6875,2.421875,-0.23437499999999978,74.68750000000003
1572379265.27,2.421875,-0.234375,74.6875,2.421875,-0.23437499999999978,74.68750000000003
1572379265.29,2.421875,-0.234375,74.6875,2.421875,-0.23437499999999978,74.68750000000003
1572379265.31,2.421875,-0.234375,74.75,2.421875,-0.23437499999999983,74.75
1572379265.33,2.4375,-0.234375,74.765625,2.4375000000000004,-0.23437499999999997,74.76562500000001
1572379265.36,2.4375,-0.234375,74.765625,2.4375000000000004,-0.23437499999999997,74.76562500000001
